BOOK_ID,ISBN,TITLE,AUTHOR,PURCHASE_DATE,MEMBER_ID
1,9783161484100,book1,author1,9/11/2020,1000
2,9783161484101,book2,author2,1/10/2020,1001
3,9783161484102,book3,author3,18/7/2020,1002
4,9783161484103,book4,author4,22/5/2020,1003
5,9783161484104,book5,author5,14/11/2020,1004
6,9783161484105,book6,author6,9/6/2020,1005
7,9783161484106,book7,author7,14/8/2020,1006
8,9783161484107,book8,author8,19/4/2020,0000
9,9783161484108,book9,author9,17/7/2020,0000
10,9783161484109,book10,author10,14/8/2020,0000
11,9783161484110,book11,author11,11/7/2020,0000
12,9783161484111,book12,author12,13/3/2020,0000
13,9783161484100,book1,author1,9/11/2020,0000
